Quarterly Results of Maruti Suzuki India(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,"4,895.30","4,444.60","4,796.20","4,351.30","4,097.30","3,904.40","4,149.10","3,659.10","3,620.70","3,214.00","3,144.80","2,594.80","3,381.40","3,270.60","2,869.80","1,303.20","3,041.50","2,724.70","2,441.20","2,721.60","2,955.50","2,812.40","2,925.30","2,841.10","2,946.10","2,226.20","2,446.10","2,274.00","2,389.80","2,085.10","2,212.20","2,007.20","2,248.00","2,072.70","3,771.40","1,727.90","1,729.60","1,782.09","1,638.26","1,503.62","1,574.60","1,438.01","1,509.94","1,410.46","2,187.42","1,283.69",950.71,"1,363.33","1,279.72","1,012.91"
"P/L Before Other Inc. , Int., Excpt. Items & Tax","3,956.00","3,156.20","3,990.10","2,235.50","2,611.10","2,123.00","2,046.30","1,260.70","1,779.60",919.00,98.80,77.90,"1,250.10","1,484.80","1,167.70","-1,646.70",723.40,"1,244.10",680.20,"1,129.20","1,453.20","1,163.40","2,710.10","2,631.30","2,312.50","2,348.80","2,995.00","1,647.30","1,859.70","1,854.10","2,407.40","1,576.80","1,569.40","1,423.10","1,576.00","1,495.70","1,504.29",964.75,921.99,744.56,683.84,813.41,822.26,686.00,"1,183.72",532.94,161.51,446.38,527.93,118.28
Other Income,"1,118.00",933.00,843.60,"1,001.20",742.80,860.80,612.50,88.50,474.40,328.00,522.70,507.80,89.80,993.70,602.50,"1,318.30",880.40,784.00,920.00,836.40,867.70,917.30,526.60,271.80,595.00,244.90,522.90,682.70,444.90,591.90,812.60,483.30,538.40,242.50,473.60,206.50,319.90,128.95,193.25,296.53,406.62,116.95,101.02,204.30,398.99,188.62,156.32,112.31,296.85,160.37
"P/L Before Int., Excpt. Items & Tax","5,074.00","4,089.20","4,833.70","3,236.70","3,353.90","2,983.80","2,658.80","1,349.20","2,254.00","1,247.00",621.50,585.70,"1,339.90","2,478.50","1,770.20",-328.40,"1,603.80","2,028.10","1,600.20","1,965.60","2,320.90","2,080.70","3,236.70","2,903.10","2,907.50","2,593.70","3,517.90","2,330.00","2,304.60","2,446.00","3,220.00","2,060.10","2,107.80","1,665.60","2,049.60","1,702.20","1,824.19","1,093.70","1,115.24","1,041.09","1,090.46",930.36,923.28,890.30,"1,582.71",721.56,317.83,558.69,824.78,278.65
Interest,76.20,35.40,35.10,46.50,99.10,29.60,30.50,27.40,56.00,25.20,22.50,22.20,32.40,28.70,22.40,17.30,28.30,21.70,28.20,54.70,8.80,20.60,25.70,20.70,273.10,26.30,15.00,31.30,22.60,29.00,19.70,18.10,20.30,24.40,17.80,19.00,102.66,30.02,34.79,38.55,43.43,44.80,43.39,44.23,72.64,45.93,38.01,33.15,20.79,17.35
P/L Before Exceptional Items & Tax,"4,997.80","4,053.80","4,798.60","3,190.20","3,254.80","2,954.20","2,628.30","1,321.80","2,198.00","1,221.80",599.00,563.50,"1,307.50","2,449.80","1,747.80",-345.70,"1,575.50","2,006.40","1,572.00","1,910.90","2,312.10","2,060.10","3,211.00","2,882.40","2,634.40","2,567.40","3,502.90","2,298.70","2,282.00","2,417.00","3,200.30","2,042.00","2,087.50","1,641.20","2,031.80","1,683.20","1,721.53","1,063.68","1,080.45","1,002.54","1,047.03",885.56,879.89,846.07,"1,510.07",675.63,279.82,525.54,803.99,261.30
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,"4,997.80","4,053.80","4,798.60","3,190.20","3,254.80","2,954.20","2,628.30","1,321.80","2,198.00","1,221.80",599.00,563.50,"1,307.50","2,449.80","1,747.80",-345.70,"1,575.50","2,006.40","1,572.00","1,910.90","2,312.10","2,060.10","3,211.00","2,882.40","2,634.40","2,567.40","3,502.90","2,298.70","2,282.00","2,417.00","3,200.30","2,042.00","2,087.50","1,641.20","2,031.80","1,683.20","1,721.53","1,063.68","1,080.45","1,002.54","1,047.03",885.56,879.89,846.07,"1,510.07",675.63,279.82,525.54,803.99,261.30
Tax,"1,120.00",923.80,"1,082.10",705.10,631.20,602.90,566.80,309.00,359.10,210.50,123.70,122.70,141.40,508.40,376.20,-96.30,283.80,441.60,213.40,475.40,516.50,570.80,970.60,907.10,752.30,768.40,"1,018.60",742.30,573.00,672.50,802.30,555.80,611.30,458.20,534.80,475.10,437.29,261.52,217.91,240.26,246.98,204.41,209.66,214.46,270.45,174.34,52.37,101.77,164.15,55.68
P/L After Tax from Ordinary Activities,"3,877.80","3,130.00","3,716.50","2,485.10","2,623.60","2,351.30","2,061.50","1,012.80","1,838.90","1,011.30",475.30,440.80,"1,166.10","1,941.40","1,371.60",-249.40,"1,291.70","1,564.80","1,358.60","1,435.50","1,795.60","1,489.30","2,240.40","1,975.30","1,882.10","1,799.00","2,484.30","1,556.40","1,709.00","1,744.50","2,398.00","1,486.20","1,476.20","1,183.00","1,497.00","1,208.10","1,284.24",802.16,862.54,762.28,800.05,681.15,670.23,631.61,"1,239.62",501.29,227.45,423.77,639.84,205.62
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,"3,877.80","3,130.00","3,716.50","2,485.10","2,623.60","2,351.30","2,061.50","1,012.80","1,838.90","1,011.30",475.30,440.80,"1,166.10","1,941.40","1,371.60",-249.40,"1,291.70","1,564.80","1,358.60","1,435.50","1,795.60","1,489.30","2,240.40","1,975.30","1,882.10","1,799.00","2,484.30","1,556.40","1,709.00","1,744.50","2,398.00","1,486.20","1,476.20","1,183.00","1,497.00","1,208.10","1,284.24",802.16,862.54,762.28,800.05,681.15,670.23,631.61,"1,239.62",501.29,227.45,423.77,639.84,205.62
Equity Share Capital,157.20,157.20,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.00,151.04,151.04,151.04,151.04,151.04,151.04,151.04,151.04,151.04,144.46,144.46,144.46,144.46,144.46
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,500.00,--,--,--,240.00,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,123.34,101.90,123.03,82.27,86.85,77.84,68.24,33.53,60.87,33.48,15.73,14.59,38.60,64.27,45.41,-8.26,42.76,51.80,44.97,47.52,59.44,49.30,74.17,65.39,62.30,59.56,82.24,51.52,56.57,57.75,79.38,49.20,48.87,39.16,49.56,39.99,42.51,26.55,28.55,25.23,26.48,22.55,22.19,20.91,41.04,17.35,7.87,14.67,22.15,7.12
Diluted EPS,123.34,101.90,123.03,82.27,86.85,77.84,68.24,33.53,60.87,33.48,15.73,14.59,38.60,64.27,45.41,-8.26,42.76,51.80,44.97,47.52,59.44,49.30,74.17,65.39,62.30,59.56,82.24,51.52,56.57,57.75,79.38,49.20,48.87,39.16,49.56,39.99,42.51,26.55,28.55,25.23,26.48,22.55,22.19,20.91,41.04,17.35,7.87,14.67,22.15,7.12
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS.,123.34,101.90,123.03,82.27,86.85,77.84,68.24,33.53,60.87,33.48,15.73,14.59,38.60,64.27,45.41,-8.26,42.76,51.80,44.97,47.52,59.44,49.30,74.17,65.39,62.30,59.56,82.24,51.52,56.57,57.75,79.38,49.20,48.87,39.16,49.56,39.99,42.51,26.55,28.55,25.23,26.48,22.55,22.19,20.91,41.04,17.35,7.87,14.67,22.15,7.12
Diluted EPS.,123.34,101.90,123.03,82.27,86.85,77.84,68.24,33.53,60.87,33.48,15.73,14.59,38.60,64.27,45.41,-8.26,42.76,51.80,44.97,47.52,59.44,49.30,74.17,65.39,62.30,59.56,82.24,51.52,56.57,57.75,79.38,49.20,48.87,39.16,49.56,39.99,42.51,26.55,28.55,25.23,26.48,22.55,22.19,20.91,41.04,17.35,7.87,14.67,22.15,7.12
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43.79,43.79,43.79,43.79,43.79,43.79,43.79,43.79,43.79,43.79,45.79,45.79,45.79,45.79,45.79
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.98,16.98,16.98,16.98,16.98,16.98,16.98,16.98,16.98,16.98,15.66,15.66,15.66,15.66,15.66
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,56.21,56.21,56.21,56.21,56.21,56.21,56.21,56.21,56.21,56.21,54.21,54.21,54.21,54.21,54.21
