Quarterly Results of Adani Power(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11
P/L Before Tax,"2,410.77","2,564.39","5,262.37","8,133.06",700.91,444.33,933.73,"5,310.41","6,235.93",-47.37,-56.99,-46.13,-351.03,-58.67,-44.10,-49.21,-79.02,-66.66,-77.12,"-1,117.76",-62.82,-120.68,-1.31,-40.42,-556.15,791.72,256.50,-515.85,"-4,689.83",-478.36,-135.49,-88.54,299.63,-30.24,-188.51,-120.28,418.21,53.76,-431.49,-179.72,"1,467.77",-295.11,-807.16,-830.85,-304.22,-412.68,-54.26,-722.55,-168.40,-286.20
Tax,579.48,404.89,"-1,363.02",--,"-4,149.97",199.34,5.45,"1,088.41","1,487.64",--,--,--,--,--,-4.27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.03,--,-83.26,82.96,--,--,-218.89,--,--,--,--,"-1,382.23",131.15,102.59,87.86,122.35,94.41,171.13,70.43,121.76,71.93
P/L After Tax from Ordinary Activities,"1,831.29","2,159.50","6,625.39","8,133.06","4,850.88",244.99,928.28,"4,222.00","4,748.29",-47.37,-56.99,-46.13,-351.03,-58.67,-39.83,-49.21,-79.02,-66.66,-77.12,"-1,117.76",-62.82,-120.68,-1.31,-40.42,-556.15,791.72,256.50,-515.85,"-4,689.83",-478.39,-135.49,-5.28,216.67,-30.24,-188.51,98.61,418.21,53.76,-431.49,-179.72,"2,850.00",-426.26,-909.75,-918.71,-426.57,-507.09,-225.39,-792.98,-290.16,-358.13
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,"1,831.29","2,159.50","6,625.39","8,133.06","4,850.88",244.99,928.28,"4,222.00","4,748.29",-47.37,-56.99,-46.13,-351.03,-58.67,-39.83,-49.21,-79.02,-66.66,-77.12,"-1,117.76",-62.82,-120.68,-1.31,-40.42,-556.15,791.72,256.50,-515.85,"-4,689.83",-478.39,-135.49,-5.28,216.67,-30.24,-188.51,98.61,418.21,53.76,-431.49,-179.72,"2,850.00",-426.26,-909.75,-918.71,-426.57,-507.09,-225.39,-792.98,-290.16,-358.13
Equity Share Capital,"3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,856.94","3,500.89","3,417.45","3,333.94","3,333.94","2,935.84","2,935.84","2,871.92","2,871.92","2,871.92","2,871.92","2,871.92","2,871.92","2,871.92","2,871.92","2,871.92","2,393.27","2,393.27","2,180.04","2,180.04","2,180.04","2,180.04"
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,4.29,5.11,16.56,20.28,11.78,0.18,1.59,10.14,11.92,-0.77,-0.80,-0.76,-1.52,-0.77,-0.72,-0.74,-0.78,-0.69,-0.72,-3.42,-0.49,-0.65,--,-0.10,-1.44,2.05,0.67,-1.34,-12.83,-1.38,-0.40,-0.02,0.69,-0.10,-0.64,0.34,1.46,0.19,-1.50,-0.63,9.92,-1.48,-3.17,-3.57,-1.78,-2.12,-1.03,-3.64,-1.33,-1.64
Diluted EPS,4.29,5.11,16.56,20.28,11.78,0.18,1.59,10.14,11.92,-0.77,-0.80,-0.76,-1.52,-0.77,-0.72,-0.74,-0.78,-0.69,-0.72,-3.42,-0.49,-0.65,--,-0.10,-1.44,2.05,0.67,-1.34,-12.83,-1.38,-0.40,-0.02,0.69,-0.10,-0.64,0.34,1.46,0.19,-1.50,-0.63,9.92,-1.48,-3.17,-3.57,-1.78,-2.12,-1.03,-3.64,-1.33,-1.64
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS.,4.29,5.11,16.56,20.28,11.78,0.18,1.59,10.14,11.92,-0.77,-0.80,-0.76,-1.52,-0.77,-0.72,-0.74,-0.78,-0.69,-0.72,-3.42,-0.49,-0.65,--,-0.10,-1.44,2.05,0.67,-1.34,-12.83,-1.38,-0.40,-0.02,0.69,-0.10,-0.64,0.34,1.46,0.19,-1.50,-0.63,9.92,-1.48,-3.17,-3.57,-1.78,-2.12,-1.03,-3.64,-1.33,-1.64
Diluted EPS.,4.29,5.11,16.56,20.28,11.78,0.18,1.59,10.14,11.92,-0.77,-0.80,-0.76,-1.52,-0.77,-0.72,-0.74,-0.78,-0.69,-0.72,-3.42,-0.49,-0.65,--,-0.10,-1.44,2.05,0.67,-1.34,-12.83,-1.38,-0.40,-0.02,0.69,-0.10,-0.64,0.34,1.46,0.19,-1.50,-0.63,9.92,-1.48,-3.17,-3.57,-1.78,-2.12,-1.03,-3.64,-1.33,-1.64
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,122.93,71.80,71.80,71.80,71.80,71.80,71.80,71.80,71.80,71.80,75.82,50.94,50.94,57.77,57.77
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41.87,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,30.00,31.68,23.37,23.37,26.50,26.50
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,116.47,90.54,85.83,85.83,68.84,41.54,29.40,29.40,29.40,41.54,43.59,39.77,32.68,32.68,85.82
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,68.25,42.03,39.85,39.85,31.96,19.28,13.65,13.65,13.65,24.79,26.66,23.80,19.56,20.39,53.56
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39.67,31.52,29.89,29.89,23.97,14.46,10.24,10.24,10.24,17.36,18.21,18.24,14.99,14.99,39.37
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,54.18,124.86,129.56,129.56,146.55,173.86,185.99,185.99,185.99,125.99,119.91,127.29,134.36,127.55,74.41
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31.75,57.97,60.15,60.15,68.04,80.72,86.35,86.35,86.35,75.21,73.34,76.20,80.44,79.61,46.44
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.46,43.48,45.11,45.11,51.03,60.54,64.76,64.76,64.76,52.64,50.11,58.39,61.64,58.51,34.13
