Quarterly Results of Tata Consultancy Services(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,"11,311.00","10,970.00","10,345.00","10,747.00","11,652.00","11,281.00","10,526.00","9,680.00","9,404.00","8,605.00","7,673.00","7,317.00","7,646.00","6,500.00","6,068.00","6,393.00","7,326.00","7,262.00","7,186.00","7,273.00","7,740.00","7,237.00","6,998.00","6,854.00","4,887.00","4,492.00","4,223.00","4,450.00","4,344.00","4,495.00","4,260.00","4,389.00","4,371.00","4,020.00","4,247.00","3,752.00","6,658.41","6,354.75","6,243.00","5,925.38","5,974.83","5,482.53","5,430.48","4,766.94","4,635.84","4,315.69","4,144.48","3,925.83","3,537.96","3,648.17"
"P/L Before Other Inc. , Int., Excpt. Items & Tax","13,571.00","13,399.00","12,823.00","12,167.00","11,862.00","12,520.00","11,806.00","10,869.00","10,768.00","10,780.00","10,791.00","10,384.00","10,164.00","9,907.00","9,331.00","7,855.00","8,529.00","8,768.00","8,330.00","9,025.00","8,595.00","8,122.00","8,558.00","7,973.00","7,069.00","6,698.00","6,501.00","5,890.00","6,316.00","6,354.00","6,423.00","6,421.00","6,314.00","6,427.00","6,709.00","6,145.00","3,130.10","5,790.71","5,560.67","5,152.95","5,267.83","5,498.83","5,486.71","3,943.40","3,350.40","3,469.35","3,378.28","3,270.06","2,856.00","3,078.23"
Other Income,"1,806.00","1,809.00","1,755.00","1,903.00","1,433.00","1,558.00","1,622.00",715.00,"1,981.00","2,225.00","2,524.00",756.00,864.00,"2,096.00","1,734.00",706.00,"2,033.00","1,206.00","2,638.00","2,205.00","1,648.00","1,873.00","1,725.00","2,381.00","1,539.00","1,043.00",807.00,"2,414.00","1,054.00","1,360.00","1,175.00",979.00,940.00,"1,147.00",679.00,991.00,"1,299.44","1,503.16",865.17,798.96,685.89,653.13,"1,513.63",275.08,453.55,455.40,"1,148.69",169.26,243.46,763.84
"P/L Before Int., Excpt. Items & Tax","15,377.00","15,208.00","14,578.00","14,070.00","13,295.00","14,078.00","13,428.00","11,584.00","12,749.00","13,005.00","13,315.00","11,140.00","11,028.00","12,003.00","11,065.00","8,561.00","10,562.00","9,974.00","10,968.00","11,230.00","10,243.00","9,995.00","10,283.00","10,354.00","8,608.00","7,741.00","7,308.00","8,304.00","7,370.00","7,714.00","7,598.00","7,400.00","7,254.00","7,574.00","7,388.00","7,136.00","4,429.54","7,293.87","6,425.84","5,951.91","5,953.72","6,151.96","7,000.34","4,218.48","3,803.95","3,924.75","4,526.97","3,439.32","3,099.46","3,842.07"
Interest,197.00,204.00,134.00,138.00,250.00,136.00,125.00,184.00,123.00,126.00,117.00,120.00,111.00,159.00,149.00,118.00,211.00,200.00,99.00,233.00,20.00,8.00,130.00,12.00,3.00,2.00,4.00,21.00,4.00,3.00,3.00,6.00,4.00,5.00,3.00,1.00,5.16,12.54,58.14,3.73,4.55,4.00,9.83,5.02,9.21,3.81,13.29,4.26,2.43,3.14
P/L Before Exceptional Items & Tax,"15,180.00","15,004.00","14,444.00","13,932.00","13,045.00","13,942.00","13,303.00","11,400.00","12,626.00","12,879.00","13,198.00","11,020.00","10,917.00","11,844.00","10,916.00","8,443.00","10,351.00","9,774.00","10,869.00","10,997.00","10,223.00","9,987.00","10,153.00","10,342.00","8,605.00","7,739.00","7,304.00","8,283.00","7,366.00","7,711.00","7,595.00","7,394.00","7,250.00","7,569.00","7,385.00","7,135.00","4,424.38","7,281.33","6,367.70","5,948.18","5,949.17","6,147.96","6,990.51","4,213.46","3,794.74","3,920.94","4,513.68","3,435.06","3,097.03","3,838.93"
Exceptional Items,--,-958.00,--,--,--,--,--,--,--,--,--,--,--,--,"-1,218.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.62,--,--,527.76,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,"15,180.00","14,046.00","14,444.00","13,932.00","13,045.00","13,942.00","13,303.00","11,400.00","12,626.00","12,879.00","13,198.00","11,020.00","10,917.00","11,844.00","9,698.00","8,443.00","10,351.00","9,774.00","10,869.00","10,997.00","10,223.00","9,987.00","10,153.00","10,342.00","8,605.00","7,739.00","7,304.00","8,283.00","7,366.00","7,711.00","7,595.00","7,394.00","7,250.00","7,569.00","7,385.00","7,135.00","4,425.00","7,281.33","6,367.70","6,475.94","5,949.17","6,147.96","6,990.51","4,213.46","3,794.74","3,920.94","4,513.68","3,435.06","3,097.03","3,838.93"
Tax,"3,787.00","3,293.00","3,515.00","3,448.00","3,245.00","3,283.00","3,244.00","2,812.00","2,831.00","2,920.00","3,046.00","2,739.00","2,743.00","2,602.00","2,250.00","2,347.00","2,124.00","2,091.00","2,233.00","2,283.00","2,400.00","2,501.00","2,533.00","3,206.00","1,849.00","1,670.00","1,558.00","1,613.00","1,533.00","1,627.00","1,637.00","1,616.00","1,522.00","1,578.00","1,662.00","1,502.00",967.74,"1,570.18","1,376.02","1,379.07","1,320.65","1,371.20","1,382.76",915.71,779.96,703.83,790.92,637.47,538.69,670.83
P/L After Tax from Ordinary Activities,"11,393.00","10,753.00","10,929.00","10,484.00","9,800.00","10,659.00","10,059.00","8,588.00","9,795.00","9,959.00","10,152.00","8,281.00","8,174.00","9,242.00","7,448.00","6,096.00","8,227.00","7,683.00","8,636.00","8,714.00","7,823.00","7,486.00","7,620.00","7,136.00","6,756.00","6,069.00","5,746.00","6,670.00","5,833.00","6,084.00","5,958.00","5,778.00","5,728.00","5,991.00","5,723.00","5,633.00","3,457.26","5,711.15","4,991.68","5,096.87","4,628.52","4,776.76","5,607.75","3,297.75","3,014.78","3,217.11","3,722.76","2,797.59","2,558.34","3,168.10"
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,"11,393.00","10,753.00","10,929.00","10,484.00","9,800.00","10,659.00","10,059.00","8,588.00","9,795.00","9,959.00","10,152.00","8,281.00","8,174.00","9,242.00","7,448.00","6,096.00","8,227.00","7,683.00","8,636.00","8,714.00","7,823.00","7,486.00","7,620.00","7,136.00","6,756.00","6,069.00","5,746.00","6,670.00","5,833.00","6,084.00","5,958.00","5,778.00","5,728.00","5,991.00","5,723.00","5,633.00","3,457.26","5,711.15","4,991.68","5,096.87","4,628.52","4,776.76","5,607.75","3,297.75","3,014.78","3,217.11","3,722.76","2,797.59","2,558.34","3,168.10"
Equity Share Capital,362.00,362.00,366.00,366.00,366.00,366.00,366.00,366.00,366.00,370.00,370.00,370.00,370.00,375.00,375.00,375.00,375.00,375.00,375.00,375.00,375.00,375.00,375.00,383.00,191.00,191.00,191.00,191.00,197.04,197.04,197.04,197.04,197.04,197.04,197.04,197.04,195.87,195.87,195.87,195.87,195.87,195.87,195.87,195.72,195.72,195.72,195.72,195.72,195.72,195.72
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,31.48,29.45,29.87,28.65,26.79,29.13,27.49,23.47,26.48,26.93,27.45,22.39,22.08,24.63,19.85,16.25,21.92,20.47,23.02,23.22,20.85,19.95,19.92,18.64,35.29,31.70,30.02,34.11,29.61,30.88,30.24,29.32,29.07,30.40,29.04,28.59,17.65,29.16,25.48,26.02,23.54,24.36,28.60,16.82,15.37,16.40,18.99,14.26,12.99,16.17
Diluted EPS,31.48,29.45,29.87,28.65,26.79,29.13,27.49,23.47,26.48,26.93,27.45,22.39,22.08,24.63,19.85,16.25,21.92,20.47,23.02,23.22,20.85,19.95,19.92,18.64,35.29,31.70,30.02,34.11,29.61,30.88,30.24,29.32,29.07,30.40,29.04,28.59,17.65,29.16,25.48,26.02,23.54,24.36,28.60,16.82,15.37,16.40,18.99,14.26,12.99,16.17
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS.,31.48,29.45,29.87,28.65,26.79,29.13,27.49,23.47,26.48,26.93,27.45,22.38,22.09,24.65,19.86,16.26,21.92,20.47,23.02,23.22,20.85,19.95,19.92,18.64,35.29,31.70,30.02,34.11,29.61,30.88,30.24,29.32,29.07,30.40,29.04,28.59,17.65,29.16,25.48,26.02,23.54,24.36,28.60,16.82,15.37,16.40,18.99,14.26,12.99,16.17
Diluted EPS.,31.48,29.45,29.87,28.65,26.79,29.13,27.49,23.47,26.48,26.93,27.45,22.39,22.08,24.63,19.85,16.25,21.92,20.47,23.02,23.22,20.85,19.95,19.92,18.64,35.29,31.70,30.02,34.11,29.61,30.88,30.24,29.32,29.07,30.40,29.04,28.59,17.65,29.16,25.48,26.02,23.54,24.36,28.60,16.82,15.37,16.40,18.99,14.26,12.99,16.17
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51.20,51.13,51.13,51.13,51.13,51.13,51.13,50.97,50.97,50.97,50.97,50.97,50.93,50.93,50.74
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26.14,26.10,26.10,26.10,26.10,26.10,26.10,26.04,26.04,26.04,26.04,26.04,26.02,26.02,25.92
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.86,2.86,2.86,2.87,3.21,2.61,2.65,3.52,4.50,6.93,7.24,7.75,7.95,7.95,8.31
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.98,1.98,1.98,1.98,2.22,1.80,1.83,2.43,3.11,4.78,5.00,5.35,5.49,5.49,5.73
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.46,1.46,1.46,1.46,1.64,1.33,1.35,1.80,2.30,3.54,3.70,3.96,4.06,4.06,4.25
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,141.82,141.88,141.88,141.87,141.53,142.13,142.09,141.23,140.25,137.83,137.52,137.01,136.84,136.84,136.68
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,98.02,98.02,98.02,98.02,97.78,98.20,98.17,97.57,96.89,95.22,95.00,94.65,94.51,94.51,94.27
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,72.40,72.44,72.44,72.44,72.26,72.57,72.55,72.16,71.66,70.42,70.26,70.00,69.92,69.92,69.83
