Quarterly Results of Mahindra and Mahindra(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11
"P/L Before Other Inc. , Int., Excpt. Items & Tax","2,468.85","2,772.40","3,581.02","2,719.25","1,958.85","1,985.05","1,720.77","1,660.40","1,265.06","1,174.58","1,079.18","1,073.06","1,230.59","1,706.41","1,335.35",0.77,551.20,"1,095.79",851.08,"1,077.36","1,113.23","1,043.70","1,143.56","1,478.67","1,354.88","1,126.05","1,365.99",922.69,595.96,960.45,899.09,973.81,755.09,995.02,769.26,"1,021.10",656.20,759.89,760.92,"1,021.52",615.68,"1,187.45",947.93,"1,106.81","1,071.08","1,032.29",940.53,954.59,769.63,880.02
Other Income,220.33,383.15,819.12,657.62,333.86,670.01,"1,325.88",238.58,238.70,523.34,"1,104.81",205.21,130.99,569.94,392.59,127.79,314.71,206.25,827.74,319.11,236.76,340.93,846.30,264.98,171.49,96.59,561.98,204.64,308.10,110.13,707.50,216.83,114.20,87.32,484.02,164.39,89.67,84.30,485.46,189.51,98.49,94.64,360.63,164.23,92.19,74.24,322.89,59.85,95.62,40.80
"P/L Before Int., Excpt. Items & Tax","2,689.18","3,155.55","4,400.14","3,376.87","2,292.71","2,655.06","3,046.65","1,898.98","1,503.76","1,697.92","2,183.99","1,278.27","1,361.58","2,276.35","1,727.94",128.56,865.91,"1,302.04","1,678.82","1,396.47","1,349.99","1,384.63","1,989.86","1,743.65","1,526.37","1,222.64","1,927.97","1,127.33",904.06,"1,070.58","1,606.59","1,190.64",869.29,"1,082.34","1,253.28","1,185.49",745.87,844.19,"1,246.38","1,211.03",714.17,"1,282.09","1,308.56","1,271.04","1,163.27","1,106.53","1,263.42","1,014.44",865.25,920.82
Interest,38.68,34.82,32.93,32.34,69.79,68.56,63.66,69.79,55.82,53.25,42.49,71.42,95.16,99.71,109.14,66.87,33.47,22.41,30.23,27.12,28.09,24.91,27.66,32.73,33.01,24.64,22.85,30.77,44.52,38.14,25.72,24.19,45.83,47.35,42.56,38.94,62.86,43.45,49.42,58.57,84.30,63.33,62.26,49.33,51.11,46.59,47.47,46.02,70.94,6.77
P/L Before Exceptional Items & Tax,"2,650.50","3,120.73","4,367.21","3,344.53","2,222.92","2,586.50","2,982.99","1,829.19","1,447.94","1,644.67","2,141.50","1,206.85","1,266.42","2,176.64","1,618.80",61.69,832.44,"1,279.63","1,648.59","1,369.35","1,321.90","1,359.72","1,962.20","1,710.92","1,493.36","1,198.00","1,905.12","1,096.56",859.54,"1,032.44","1,580.87","1,166.45",823.46,"1,034.99","1,210.72","1,146.55",683.01,800.74,"1,196.96","1,152.46",629.87,"1,218.76","1,246.30","1,221.71","1,112.16","1,059.94","1,215.95",968.42,794.31,914.05
Exceptional Items,--,--,--,--,-511.83,-628.88,-247.86,-40.97,124.79,--,-255.00,-78.46,-886.66,"-1,691.48","-1,149.46",64.33,"-2,780.47",-600.56,--,"1,367.05",-104.73,-80.00,134.13,20.87,47.86,385.75,--,--,93.68,363.78,--,91.00,5.99,62.75,--,--,36.38,299.34,--,--,52.79,--,--,--,90.62,--,--,--,108.27,--
P/L Before Tax,"2,650.50","3,120.73","4,367.21","3,344.53","1,711.09","1,957.62","2,735.13","1,788.22","1,572.73","1,644.67","1,886.50","1,128.39",379.76,485.16,469.34,126.02,"-1,948.03",679.07,"1,648.59","2,736.40","1,217.17","1,279.72","2,096.33","1,731.79","1,541.22","1,583.75","1,905.12","1,096.56",953.22,"1,396.22","1,580.87","1,257.45",829.45,"1,097.74","1,210.72","1,146.55",719.39,"1,100.08","1,196.96","1,152.46",682.66,"1,218.76","1,246.30","1,221.71","1,202.78","1,059.94","1,215.95",968.42,902.58,914.05
Tax,612.29,666.75,915.33,570.80,162.12,429.56,645.21,358.06,280.79,291.60,454.77,272.78,331.32,454.23,392.15,13.92,554.39,372.52,435.99,422.58,368.36,202.91,446.87,510.83,482.13,367.84,573.55,330.60,228.06,283.95,417.60,302.24,224.82,263.27,295.34,296.46,168.83,157.94,250.33,270.68,-214.22,284.70,256.80,283.80,313.59,223.75,314.15,242.78,28.10,251.90
P/L After Tax from Ordinary Activities,"2,038.21","2,453.98","3,451.88","2,773.73","1,548.97","1,528.06","2,089.92","1,430.16","1,291.94","1,353.07","1,431.73",855.61,48.44,30.93,77.19,112.10,"-2,502.42",306.55,"1,212.60","2,313.82",848.81,"1,076.81","1,649.46","1,220.96","1,059.09","1,215.91","1,331.57",765.96,725.16,"1,112.27","1,163.27",955.21,604.63,834.47,915.38,850.09,550.56,942.14,946.63,881.78,896.88,934.06,989.50,937.91,889.19,836.19,901.80,725.64,874.48,662.15
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,"2,038.21","2,453.98","3,451.88","2,773.73","1,548.97","1,528.06","2,089.92","1,430.16","1,291.94","1,353.07","1,431.73",855.61,48.44,30.93,77.19,112.10,"-2,502.42",306.55,"1,212.60","2,313.82",848.81,"1,076.81","1,649.46","1,220.96","1,059.09","1,215.91","1,331.57",765.96,725.16,"1,112.27","1,163.27",955.21,604.63,834.47,915.38,850.09,550.56,942.14,946.63,881.78,896.88,934.06,989.50,937.91,889.19,836.19,901.80,725.64,874.48,662.15
Equity Share Capital,599.62,599.49,599.32,599.18,599.05,598.73,598.48,598.38,598.30,597.94,597.69,597.50,597.39,597.15,596.93,596.78,596.52,596.31,596.11,595.97,595.80,595.40,595.22,595.08,594.97,594.73,296.87,296.87,296.81,296.63,296.55,296.39,296.32,296.06,295.96,295.86,295.70,295.40,295.30,295.16,295.16,295.16,295.16,295.16,295.16,295.11,294.96,294.67,294.52,294.22
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,17.00,20.47,28.80,23.15,12.93,12.76,17.46,11.95,10.80,11.32,11.98,7.16,0.41,0.26,0.65,0.94,-20.98,2.57,10.17,19.42,7.13,9.04,13.86,10.26,8.90,10.23,22.40,12.90,12.22,18.75,19.62,16.12,8.08,14.09,15.47,14.37,9.32,15.95,16.03,14.94,15.19,15.82,16.76,15.89,15.06,14.17,15.30,12.32,14.85,11.26
Diluted EPS,16.94,20.40,28.70,23.07,12.89,12.71,17.39,11.91,10.76,11.28,11.93,7.13,0.40,0.26,0.64,0.94,-20.98,2.56,10.14,19.35,7.12,9.01,13.80,10.22,8.87,10.18,22.31,12.85,12.17,17.91,18.73,15.38,8.04,13.44,14.74,13.69,8.86,15.17,15.33,14.32,14.56,15.17,16.07,15.27,14.48,13.62,14.69,11.82,14.24,10.78
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS.,17.00,20.47,28.80,23.15,12.93,12.76,17.46,11.95,10.80,11.32,11.98,7.16,0.41,0.26,0.65,0.94,-20.98,2.57,10.17,19.42,7.13,9.04,13.86,10.26,8.90,10.23,22.40,12.90,12.22,18.75,19.62,16.12,8.08,14.09,15.47,14.37,9.32,15.95,16.03,14.94,15.19,15.82,16.76,15.89,15.06,14.17,15.30,12.32,14.85,11.26
Diluted EPS.,16.94,20.40,28.70,23.07,12.89,12.71,17.39,11.91,10.76,11.28,11.93,7.13,0.40,0.26,0.64,0.94,-20.98,2.56,10.14,19.35,7.12,9.01,13.80,10.22,8.87,10.18,22.31,12.85,12.17,17.91,18.73,15.38,8.04,13.44,14.74,13.69,8.86,15.17,15.33,14.32,14.56,15.17,16.07,15.27,14.48,13.62,14.69,11.82,14.24,10.78
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42.73,42.84,42.76,42.79,42.91,42.94,42.94,42.97,42.76,42.64,42.52,42.52,42.25,42.46,42.31
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,68.81,68.97,68.84,68.89,69.67,69.72,69.71,69.77,69.43,69.45,69.26,69.26,68.81,69.15,68.90
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.87,0.99,1.23,1.23,1.23,1.26,1.26,1.26,1.26,1.26,1.38,1.38,1.38,1.18,1.02
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.45,6.21,7.69,7.68,7.91,8.11,8.13,8.12,8.10,8.18,8.85,8.83,8.80,7.63,6.55
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.40,1.59,1.98,1.98,2.00,2.05,2.05,2.05,2.05,2.06,2.24,2.24,2.24,1.93,1.66
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.03,14.94,14.76,14.78,14.32,14.31,14.28,14.30,14.35,14.20,14.16,14.19,14.25,14.33,14.54
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,94.55,93.79,92.31,92.32,92.09,91.89,91.87,91.88,91.90,91.82,91.15,91.17,91.20,92.37,93.45
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24.20,24.06,23.76,23.80,23.25,23.24,23.19,23.21,23.30,23.12,23.06,23.11,23.21,23.33,23.68
