Quarterly Results of ITC(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,"3,967.90","2,659.75","2,534.99","2,258.81","2,500.46","2,454.31","2,391.17","2,303.22","2,217.06","2,274.69","1,916.58","1,704.77","2,009.90","1,772.89","1,724.47","1,620.90","1,945.16","1,977.37","2,195.12","2,106.97","2,044.88","1,972.21","1,986.90","1,652.56","1,830.25","1,691.47","1,589.71","1,697.63","1,995.99","1,753.12","1,759.00","1,581.92","2,036.66","1,793.00","1,724.64","1,539.04","1,933.60","1,581.71","1,582.06","1,484.48","1,754.70","1,602.35","1,338.44","1,323.56","1,659.90","1,431.12","1,384.69","1,355.68","1,554.94","1,396.18"
"P/L Before Other Inc. , Int., Excpt. Items & Tax","5,747.28","5,607.54","5,628.40","5,847.57","5,787.46","5,815.98","5,442.31","5,235.99","4,778.44","4,692.81","4,213.58","3,596.68","4,085.07","3,890.43","3,678.13","2,248.40","3,771.03","4,196.46","4,166.70","4,206.79","4,221.47","3,990.41","3,878.50","3,903.43","3,840.02","3,613.75","3,479.09","3,478.19","3,633.58","3,279.85","3,361.59","3,264.98","3,432.19","3,212.75","3,124.52","2,994.62","2,993.54","3,226.57","3,245.43","3,046.27","2,965.56","3,058.38","2,954.97","2,576.01","2,499.63","2,652.54","2,499.41","2,173.55","2,075.31","2,207.21"
Other Income,798.59,"1,135.34",895.61,708.74,746.30,871.72,506.90,312.69,674.08,809.91,676.99,428.99,771.97,970.99,609.95,896.82,755.54,983.62,654.33,620.17,740.18,836.39,504.12,403.85,516.50,626.92,494.21,476.77,402.10,687.94,475.35,420.52,411.60,648.97,392.57,356.49,370.37,581.99,356.22,234.55,266.71,391.06,246.19,203.18,253.98,329.80,184.98,176.76,207.87,285.12
"P/L Before Int., Excpt. Items & Tax","6,545.87","6,742.88","6,524.01","6,556.31","6,533.76","6,687.70","5,949.21","5,548.68","5,452.52","5,502.72","4,890.57","4,025.67","4,857.04","4,861.42","4,288.08","3,145.22","4,526.57","5,180.08","4,821.03","4,826.96","4,961.65","4,826.80","4,382.62","4,307.28","4,356.52","4,240.67","3,973.30","3,954.96","4,035.68","3,967.79","3,836.94","3,685.50","3,843.79","3,861.72","3,517.09","3,351.11","3,363.91","3,808.56","3,601.65","3,280.82","3,232.27","3,449.44","3,201.16","2,779.19","2,753.61","2,982.34","2,684.39","2,350.31","2,283.18","2,492.33"
Interest,12.12,12.38,10.51,10.72,11.83,10.18,10.67,9.13,10.49,10.69,10.45,10.32,3.14,13.78,13.76,16.79,14.73,12.44,13.33,15.22,7.74,5.61,13.50,7.34,23.24,24.02,29.01,10.38,-11.46,13.59,10.72,10.10,12.27,16.09,10.31,10.46,15.51,8.37,18.39,15.15,9.53,9.14,-32.67,16.95,24.27,25.15,23.29,13.76,14.82,15.67
P/L Before Exceptional Items & Tax,"6,533.75","6,730.50","6,513.50","6,545.59","6,521.93","6,677.52","5,938.54","5,539.55","5,442.03","5,492.03","4,880.12","4,015.35","4,853.90","4,847.64","4,274.32","3,128.43","4,511.84","5,167.64","4,807.70","4,811.74","4,953.91","4,821.19","4,369.12","4,299.94","4,333.28","4,216.65","3,944.29","3,944.58","4,047.14","3,954.20","3,826.22","3,675.40","3,831.52","3,845.63","3,506.78","3,340.65","3,348.40","3,800.19","3,583.26","3,265.67","3,222.74","3,440.30","3,233.83","2,762.24","2,729.34","2,957.19","2,661.10","2,336.55","2,268.36","2,476.66"
Exceptional Items,-2.05,-5.52,--,--,72.87,--,--,--,--,--,--,--,--,--,--,--,--,-132.11,--,--,--,--,--,--,--,412.90,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,"6,531.70","6,724.98","6,513.50","6,545.59","6,594.80","6,677.52","5,938.54","5,539.55","5,442.03","5,492.03","4,880.12","4,015.35","4,853.90","4,847.64","4,274.32","3,128.43","4,511.84","5,035.53","4,807.70","4,811.74","4,953.91","4,821.19","4,369.12","4,299.94","4,333.28","4,629.55","3,944.29","3,944.58","4,047.14","3,954.20","3,826.22","3,675.40","3,831.52","3,845.63","3,506.78","3,340.65","3,348.40","3,800.19","3,583.26","3,265.67","3,222.74","3,440.30","3,233.83","2,762.24","2,729.34","2,957.19","2,661.10","2,336.55","2,268.36","2,476.66"
Tax,"1,511.50","1,152.91","1,586.54","1,642.85","1,507.94","1,646.51","1,472.48","1,370.17","1,251.07","1,335.83","1,182.94","1,001.86","1,105.49","1,184.79","1,041.92",785.67,714.76,893.60,784.60,"1,637.80","1,472.01","1,612.12","1,414.45","1,481.26","1,400.57","1,539.35","1,304.45","1,384.08","1,377.67","1,307.47","1,326.19","1,290.73","1,336.32","1,341.87","1,244.28","1,174.56",987.22,"1,165.19","1,158.10","1,079.28",944.73,"1,054.96","1,003.30",870.91,801.36,905.34,824.68,734.41,654.00,775.68
P/L After Tax from Ordinary Activities,"5,020.20","5,572.07","4,926.96","4,902.74","5,086.86","5,031.01","4,466.06","4,169.38","4,190.96","4,156.20","3,697.18","3,013.49","3,748.41","3,662.85","3,232.40","2,342.76","3,797.08","4,141.93","4,023.10","3,173.94","3,481.90","3,209.07","2,954.67","2,818.68","2,932.71","3,090.20","2,639.84","2,560.50","2,669.47","2,646.73","2,500.03","2,384.67","2,495.20","2,503.76","2,262.50","2,166.09","2,361.18","2,635.00","2,425.16","2,186.39","2,278.01","2,385.34","2,230.53","1,891.33","1,927.98","2,051.85","1,836.42","1,602.14","1,614.36","1,700.98"
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,"5,020.20","5,572.07","4,926.96","4,902.74","5,086.86","5,031.01","4,466.06","4,169.38","4,190.96","4,156.20","3,697.18","3,013.49","3,748.41","3,662.85","3,232.40","2,342.76","3,797.08","4,141.93","4,023.10","3,173.94","3,481.90","3,209.07","2,954.67","2,818.68","2,932.71","3,090.20","2,639.84","2,560.50","2,669.47","2,646.73","2,500.03","2,384.67","2,495.20","2,503.76","2,262.50","2,166.09","2,361.18","2,635.00","2,425.16","2,186.39","2,278.01","2,385.34","2,230.53","1,891.33","1,927.98","2,051.85","1,836.42","1,602.14","1,614.36","1,700.98"
Equity Share Capital,"1,248.47","1,247.56","1,247.09","1,243.95","1,242.80","1,241.23","1,239.92","1,233.79","1,232.33","1,232.26","1,232.03","1,230.88","1,230.88","1,230.51","1,230.50","1,229.22","1,229.22","1,229.11","1,228.65","1,225.86","1,225.86","1,224.69","1,224.19","1,220.74","1,220.43","1,219.05","1,218.36","1,215.22","1,214.74","1,212.14","1,211.16",805.33,804.72,803.67,802.65,801.55,801.55,799.54,797.43,795.50,795.32,793.55,792.00,790.18,790.18,787.83,785.63,782.29,781.84,779.62
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,4.02,4.47,3.96,3.94,4.10,4.06,3.61,3.38,3.40,3.37,3.00,2.45,3.04,2.98,2.62,1.91,3.09,3.37,3.28,2.59,2.84,2.62,2.42,2.31,2.41,2.54,2.17,2.11,2.20,2.18,2.07,1.97,3.10,2.08,1.88,1.80,2.95,3.30,3.04,2.75,2.87,3.01,2.82,2.39,2.44,2.61,2.34,2.05,2.07,2.19
Diluted EPS,4.02,4.45,3.95,3.93,4.08,4.05,3.60,3.38,3.40,3.37,3.00,2.45,3.04,2.98,2.62,1.91,3.09,3.36,3.27,2.57,2.83,2.60,2.40,2.29,2.39,2.52,2.15,2.09,2.19,2.17,2.04,1.96,3.09,2.06,1.87,1.79,2.93,3.27,3.01,2.72,2.83,2.97,2.78,2.36,2.41,2.57,2.31,2.02,2.04,2.16
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS.,4.02,4.47,3.96,3.94,4.10,4.06,3.61,3.38,3.40,3.37,3.00,2.45,3.04,2.98,2.62,1.91,3.09,3.37,3.28,2.59,2.84,2.62,2.42,2.31,2.41,2.54,2.17,2.11,2.20,2.18,2.07,1.97,3.10,2.08,1.88,1.80,2.95,3.30,3.04,2.75,2.87,3.01,2.82,2.39,2.44,2.61,2.34,2.05,2.07,2.19
Diluted EPS.,4.02,4.45,3.95,3.93,4.08,4.05,3.60,3.38,3.40,3.37,3.00,2.45,3.04,2.98,2.62,1.91,3.09,3.36,3.27,2.57,2.83,2.60,2.40,2.29,2.39,2.52,2.15,2.09,2.19,2.17,2.04,1.96,3.09,2.06,1.87,1.79,2.93,3.27,3.01,2.72,2.83,2.97,2.78,2.36,2.41,2.57,2.31,2.02,2.04,2.16
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,799.56,797.55,795.40,793.42,793.24,791.33,789.69,787.85,787.83,785.47,783.26,779.91,779.43,777.20
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,99.75,99.75,99.75,99.74,99.74,99.72,99.71,99.70,99.70,99.70,99.70,99.70,99.69,99.69
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
