Quarterly Results of Bajaj Auto(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '09,Jun '08,Mar '08
Net Profit/(Loss) For the Period,"1,927.49","2,032.62","1,836.40","1,644.14","1,373.58","1,472.70","1,521.31","1,163.33","1,464.11","1,288.42","1,774.60","1,059.21","1,329.78","1,555.30","1,137.69",527.93,"1,204.92","1,261.50","1,403.20","1,020.78","1,305.05","1,101.16","1,151.72","1,019.92","1,079.34",950.61,"1,111.68",789.68,800.92,924.12,"1,121.77",978.05,949.19,970.46,"1,052.19",867.96,116.65,162.26,-423.40
Minority Interest,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.01,0.01,--,--,--,0.01,--,0.02,--,0.01,-0.01,--,--,--,--,--,--,--,-0.36,0.23,0.13
Share Of P/L Of Associates,83.94,--,183.65,--,331.16,--,198.13,--,62.05,141.26,265.26,110.96,221.50,160.96,56.28,-132.42,149.07,60.94,120.12,-8.62,103.44,119.61,104.85,21.85,96.13,62.53,81.90,47.05,61.32,52.70,78.95,61.65,46.98,60.71,67.85,45.90,-47.15,-6.65,23.12
Net P/L After M.I & Associates,"2,011.43","2,032.62","2,020.05","1,644.14","1,704.74","1,472.70","1,719.44","1,163.33","1,526.16","1,429.68","2,039.86","1,170.17","1,551.28","1,716.26","1,193.97",395.51,"1,353.99","1,322.44","1,523.31","1,012.17","1,408.49","1,220.77","1,256.57","1,041.78","1,175.47","1,013.16","1,193.58",836.74,862.23,976.82,"1,200.72","1,039.70",996.17,"1,031.17","1,120.04",913.86,69.14,155.84,-400.15
Equity Share Capital,279.18,283.18,282.96,282.96,282.96,282.96,283.65,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,144.68,144.68,144.68
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,71.20,71.90,71.40,58.10,60.30,52.10,60.10,40.20,52.80,49.40,70.50,40.50,53.60,59.30,41.30,13.70,46.80,45.70,52.60,35.00,48.70,42.20,43.40,36.00,40.60,35.00,41.20,28.90,29.80,33.80,41.50,35.90,34.40,35.60,38.70,31.60,--,10.80,-27.65
Diluted EPS,71.20,71.90,71.40,58.10,60.30,52.10,60.10,40.20,52.80,49.40,70.50,40.50,53.60,59.30,41.30,13.70,46.80,45.70,52.60,35.00,48.70,42.20,43.40,36.00,40.60,35.00,41.20,28.90,29.80,33.80,41.50,35.90,34.40,35.60,38.70,31.60,--,10.80,-27.65
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS.,71.20,71.90,71.40,58.10,60.30,52.10,60.10,40.20,52.80,49.40,70.50,40.50,53.60,59.30,41.30,13.70,46.80,45.70,52.60,35.00,48.70,42.20,43.40,36.00,40.60,35.00,41.20,28.90,29.80,33.80,41.50,35.90,34.40,35.60,38.70,31.60,4.80,10.80,-27.65
Diluted EPS.,71.20,71.90,71.40,58.10,60.30,52.10,60.10,40.20,52.80,49.40,70.50,40.50,53.60,59.30,41.30,13.70,46.80,45.70,52.60,35.00,48.70,42.20,43.40,36.00,40.60,35.00,41.20,28.90,29.80,33.80,41.50,35.90,34.40,35.60,38.70,31.60,4.80,10.80,-27.65
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.01,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,48.47,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
