Quarterly Results of The Tata Power Company(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,"10,234.47","9,890.49","10,693.62","10,382.43","8,163.75","1,780.94","10,786.54","10,895.21","1,584.65","1,242.52","6,845.04","6,270.26","2,861.43","1,348.25","5,379.12",602.29,715.99,615.22,618.46,607.11,684.84,602.40,634.48,586.66,787.94,628.34,592.22,691.24,765.18,637.12,681.32,624.81,894.85,701.46,607.32,633.80,"2,156.43","2,232.77","1,967.40","1,923.38","2,080.05","2,326.95","1,949.61","1,975.26","1,997.86","1,951.11","1,788.13","1,703.69","1,931.12","3,621.74"
"P/L Before Other Inc., Int., Excpt. Items & Tax","1,291.06","1,491.15","2,165.10","2,050.15","1,001.41","1,481.52",922.81,861.38,"1,022.88",875.64,892.47,"1,577.27",782.33,"1,011.30","1,302.32","1,086.79",892.46,"1,133.10","1,601.59","1,682.11",745.23,998.96,"1,149.71","1,170.18",842.39,611.52,"1,274.45","1,245.46",776.87,849.82,"1,014.00","1,196.19",930.57,"1,511.99","1,609.78","1,445.92","1,407.94",969.96,"1,156.12","1,232.25","1,097.30","1,120.95","1,341.64","1,416.04","1,439.01","1,267.39",967.30,906.95,884.82,656.08
Other Income,617.36,643.13,291.51,271.42,871.54,272.83,150.35,143.30,259.40,105.59,377.11,177.86,95.09,104.93,151.79,87.43,173.15,65.01,226.21,107.92,186.65,14.81,104.60,89.77,64.11,91.09,133.09,31.28,226.16,140.09,102.93,-47.72,136.36,-28.90,-88.84,72.72,-12.49,514.79,-34.85,-50.71,53.06,-94.09,-292.91,-227.92,39.51,11.02,68.45,62.58,58.87,455.82
"P/L Before Int., Excpt. Items & Tax","1,908.42","2,134.28","2,456.61","2,321.57","1,872.95","1,754.35","1,073.16","1,004.68","1,282.28",981.23,"1,269.58","1,755.13",877.42,"1,116.23","1,454.11","1,174.22","1,065.61","1,198.11","1,827.80","1,790.03",931.88,"1,013.77","1,254.31","1,259.95",906.50,702.61,"1,407.54","1,276.74","1,003.03",989.91,"1,116.93","1,148.47","1,066.93","1,483.09","1,520.94","1,518.64","1,395.45","1,484.75","1,121.27","1,181.54","1,150.36","1,026.86","1,048.73","1,188.12","1,478.52","1,278.41","1,035.75",969.53,943.69,"1,111.90"
Interest,"1,135.72","1,094.26","1,181.83","1,221.41","1,195.56","1,098.29","1,051.76","1,026.04","1,014.60",952.60,946.39,945.43,890.49,965.56,"1,064.98","1,089.36","1,090.66","1,129.24","1,129.95","1,143.88","1,108.66","1,013.96","1,034.42","1,012.96",897.51,845.45,979.14,928.61,897.30,878.81,724.27,791.45,858.93,650.55,949.03,777.30,901.98,882.98,979.82,934.49,858.61,875.03,802.90,902.46,724.24,740.26,622.92,548.11,456.56,421.25
P/L Before Exceptional Items & Tax,772.70,"1,040.02","1,274.78","1,100.16",677.39,656.06,21.40,-21.36,267.68,28.63,323.19,809.70,-13.07,150.67,389.13,84.86,-25.05,68.87,697.85,646.15,-176.78,-0.19,219.89,246.99,8.99,-142.84,428.40,348.13,105.73,111.10,392.66,357.02,208.00,832.54,571.91,741.34,493.47,601.77,141.45,247.05,291.75,151.83,245.83,285.66,754.28,538.15,412.83,421.42,487.13,690.65
Exceptional Items,447.97,189.72,-295.62,24.72,301.57,--,132.05,280.42,145.70,101.80,-308.29,-137.45,127.47,32.97,122.81,218.50,580.20,100.22,-348.98,-293.97,191.90,-136.01,-74.12,"1,722.47","1,202.75",151.94,-412.92,-243.75,-834.65,135.18,-306.43,-272.12,249.97,-660.37,-495.25,-167.43,--,--,--,--,--,--,--,--,--,-600.00,-250.00,--,-815.00,-162.00
P/L Before Tax,"1,220.67","1,229.74",979.16,"1,124.88",978.96,656.06,153.45,259.06,413.38,130.43,14.90,672.25,114.40,183.64,511.94,303.36,555.15,169.09,348.87,352.18,15.12,-136.20,145.77,"1,969.46","1,211.74",9.10,15.48,104.38,-728.92,246.28,86.23,84.90,457.97,172.17,76.66,573.91,493.47,601.77,141.45,247.05,291.75,151.83,245.83,285.66,754.28,-61.85,162.83,421.42,-327.87,528.65
Tax,491.44,412.64,213.27,334.58,219.26,811.88,437.67,178.52,-561.64,236.60,132.08,572.52,-107.79,102.68,317.64,189.35,23.25,89.64,185.66,342.94,115.22,-122.18,152.30,569.58,-96.45,-166.81,182.18,263.01,-149.58,50.80,-111.73,144.85,119.85,147.25,186.48,226.73,285.30,302.05,173.79,313.78,382.80,165.55,125.39,334.64,499.23,229.93,222.51,226.29,279.57,234.47
P/L After Tax from Ordinary Activities,729.23,817.10,765.89,790.30,759.70,-155.82,-284.22,80.54,975.02,-106.17,-117.18,99.73,222.19,80.96,194.30,114.01,531.90,79.45,163.21,9.24,-100.10,-14.02,-6.53,"1,399.88","1,308.19",175.91,-166.70,-158.63,-579.34,195.48,197.96,-59.95,338.12,24.92,-109.82,347.18,208.17,299.72,-32.34,-66.73,-91.05,-13.72,120.44,-48.98,255.05,-291.78,-59.68,195.13,-607.44,294.18
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,-467.83,--,--,--,-89.23,85.04,-19.23,-22.78,-371.78,-13.80,-5.51,-19.14,-25.27,-33.99,-32.92,-33.66,-112.91,15.91,10.00,--,--,-2.85,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,729.23,817.10,765.89,790.30,759.70,-155.82,-284.22,80.54,507.19,-106.17,-117.18,99.73,132.96,166.00,175.07,91.23,160.12,65.65,157.70,-9.90,-125.37,-48.01,-39.45,"1,366.22","1,195.28",191.82,-156.70,-158.63,-579.34,192.63,197.96,-59.95,338.12,24.92,-109.82,347.18,208.17,299.72,-32.34,-66.73,-91.05,-13.72,120.44,-48.98,255.05,-291.78,-59.68,195.13,-607.44,294.18
Minority Interest,-150.38,-123.11,-141.88,-168.48,-161.08,-107.12,-116.09,-88.94,-129.26,-126.08,-84.15,-74.66,-88.27,-70.20,-91.32,-61.48,-72.11,-66.78,-80.64,-79.53,-49.74,-77.93,-57.59,-64.21,-73.77,-37.35,-34.34,-57.09,-15.55,-79.81,-48.98,-58.74,-61.27,24.82,-36.45,-51.29,-66.68,-102.20,-62.17,-58.32,-73.89,-70.62,-58.44,-69.08,-78.82,-49.33,-29.46,-50.46,-56.69,-11.16
Share Of P/L Of Associates,316.36,259.02,251.52,350.67,179.11,"1,207.96","1,219.40",803.00,125.18,658.06,622.84,365.96,348.25,152.41,195.86,176.87,314.58,179.99,193.11,240.70,232.69,252.62,432.81,368.90,282.22,457.05,425.20,379.50,332.44,506.41,187.26,191.18,-255.17,383.51,50.40,7.25,17.65,0.22,16.76,13.75,19.61,9.43,12.97,3.36,5.13,12.19,5.34,1.26,35.38,14.93
Net P/L After M.I & Associates,895.21,953.01,875.53,972.49,777.73,945.02,819.09,794.60,503.11,425.81,421.51,391.03,392.94,248.21,279.61,206.62,402.59,178.86,270.17,151.27,57.58,126.68,335.77,"1,670.91","1,403.73",611.52,237.16,163.78,-262.45,619.23,336.24,72.49,21.68,433.25,-95.87,303.14,159.14,197.74,-77.75,-111.30,-145.33,-74.91,74.97,-114.70,181.36,-328.92,-83.80,145.93,-628.75,297.95
Equity Share Capital,319.56,319.56,319.56,319.56,319.56,319.56,319.56,319.56,319.56,319.56,319.56,319.56,319.56,319.56,319.56,270.50,270.50,270.50,270.50,270.50,270.50,270.50,270.50,270.50,270.50,270.50,270.50,270.50,270.50,270.50,270.48,270.48,270.48,270.48,270.48,270.48,270.48,270.44,270.44,270.44,237.29,237.29,237.29,237.29,237.29,237.29,237.29,237.29,237.29,237.29
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.79,2.98,2.74,3.04,2.43,2.95,2.57,2.48,1.58,1.33,1.32,1.13,1.10,0.65,0.80,0.61,1.32,0.50,0.78,0.46,0.12,-0.37,1.13,6.07,5.08,2.15,0.76,-0.50,-1.07,2.18,1.13,0.17,1.25,1.50,-0.46,1.02,0.49,0.62,-0.40,-0.54,-0.65,-0.39,0.12,-0.65,0.58,-1.58,-0.70,0.47,-2.71,1.11
Diluted EPS,2.79,2.98,2.74,3.04,2.43,2.95,2.57,2.48,1.58,1.33,1.32,1.13,1.10,0.65,0.80,0.61,1.32,0.50,0.78,0.46,0.12,-0.37,1.13,6.07,5.08,2.15,0.76,-0.50,-1.07,2.18,1.13,0.17,1.25,1.50,-0.46,1.02,0.49,0.62,-0.40,-0.54,-0.65,-0.39,0.12,-0.65,0.58,-1.58,-0.70,0.47,-2.71,1.11
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS.,2.79,2.98,2.74,3.04,2.43,2.95,2.57,2.48,1.58,1.33,1.32,1.13,1.10,0.65,0.80,0.61,1.32,0.50,0.78,0.46,0.12,-0.37,1.13,6.07,5.08,2.15,0.76,-0.50,-1.07,2.18,1.13,0.17,1.25,1.50,-0.46,1.02,0.49,0.62,-0.40,-0.54,-0.65,-0.39,0.12,-0.65,0.58,-1.58,-0.70,0.47,-2.71,1.11
Diluted EPS.,2.79,2.98,2.74,3.04,2.43,2.95,2.57,2.48,1.58,1.33,1.32,1.13,1.10,0.65,0.80,0.61,1.32,0.50,0.78,0.46,0.12,-0.37,1.13,6.07,5.08,2.15,0.76,-0.50,-1.07,2.18,1.13,0.17,1.25,1.50,-0.46,1.02,0.49,0.62,-0.40,-0.54,-0.65,-0.39,0.12,-0.65,0.58,-1.58,-0.70,0.47,-2.71,1.11
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,180.75,180.70,180.66,180.66,180.66,159.81,152.70,152.70,152.61,154.31,154.31,154.31,154.31,154.28,154.15
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,66.93,66.92,66.80,66.80,66.80,67.34,66.46,66.46,66.45,67.19,67.19,67.19,67.19,65.02,64.96
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.56,4.56,4.56,4.56,5.96,3.54,3.54,3.54,3.54,5.21,5.21,5.21,5.21,5.21,5.21
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.10,5.10,5.10,5.10,6.66,4.59,4.59,4.59,4.59,6.91,6.91,6.91,6.91,6.91,6.90
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.68,1.68,1.68,1.66,2.20,1.49,1.49,1.49,1.49,2.19,2.19,2.19,2.19,2.19,2.19
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,84.77,84.77,84.81,84.81,83.41,73.52,73.52,73.52,73.52,70.15,70.15,70.15,70.15,70.15,70.28
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,94.90,94.90,94.90,94.90,93.34,95.41,95.41,95.41,95.41,93.09,93.09,93.09,93.09,93.09,93.10
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31.34,31.34,31.36,31.36,30.84,30.98,30.98,30.98,30.98,29.56,29.56,29.56,29.56,29.56,29.62
