Quarterly Results of State Bank of India(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11
Tax,"7,115.39","3,962.17","5,552.53","6,471.69","5,092.32","5,685.75","5,325.20","2,736.86","3,863.93","3,457.80","3,279.93","2,780.80","2,391.10","2,213.21","1,902.98","2,008.96","1,746.30","5,702.96","2,389.49","2,301.01",-55.54,"3,016.68","1,198.76","-2,008.49","-4,280.81","-4,502.53",-534.75,"1,260.59",7.36,850.76,-74.02,551.40,-203.64,860.60,"2,591.88","2,184.66","2,929.60","1,629.39","1,375.94","2,402.27","2,196.71","1,753.68","1,025.49","1,860.19",560.99,"2,200.77","2,325.88","2,471.18","3,058.52","2,134.12"
P/L After Tax from Ordinary Activities,"21,736.47","11,282.66","16,383.18","18,735.95","18,343.25","15,669.65","15,017.28","7,528.25","9,993.76","9,691.96","9,131.23","7,539.22","7,270.25","6,402.16","5,403.81","5,203.49","4,557.89","6,797.25","3,645.83","3,383.79","1,550.43","4,823.29",751.58,"-4,056.23","-7,500.83","-1,744.23","1,952.30","3,105.35","-3,383.48","2,242.14",-116.65,867.32,"1,360.31","1,374.02","5,155.35","4,853.60","4,912.87","3,893.08","4,123.71","4,587.71","4,022.10","2,882.16","3,189.26","4,395.95","3,861.66","4,760.69","4,675.65","5,024.99","5,563.20","4,427.90"
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-328.83,--
Net Profit/(Loss) For the Period,"21,736.47","11,282.66","16,383.18","18,735.95","18,343.25","15,669.65","15,017.28","7,528.25","9,993.76","9,691.96","9,131.23","7,539.22","7,270.25","6,402.16","5,403.81","5,203.49","4,557.89","6,797.25","3,645.83","3,383.79","1,550.43","4,823.29",751.58,"-4,056.23","-7,500.83","-1,744.23","1,952.30","3,105.35","-3,383.48","2,242.14",-116.65,867.32,"1,360.31","1,374.02","5,155.35","4,853.60","4,912.87","3,893.08","4,123.71","4,587.71","4,022.10","2,882.16","3,189.26","4,395.95","3,861.66","4,760.69","4,675.65","5,024.99","5,234.37","4,427.90"
Minority Interest,-818.58,-534.32,548.31,-557.54,-674.92,-410.96,-544.71,-471.12,-642.12,-392.74,-451.76,-322.68,-369.65,-356.31,-265.45,-490.95,-363.54,-400.50,-268.57,-339.56,-309.51,-245.85,-238.67,-256.88,-210.01,-219.21,-217.65,-160.17,339.91,-153.70,42.62,109.79,-200.58,-192.83,-199.12,-201.98,-363.21,-134.72,-129.85,-209.73,-160.57,-122.84,-162.99,-187.03,-166.62,-167.35,-154.18,-150.29,-192.25,-109.82
Share Of P/L Of Associates,466.26,315.80,264.71,358.39,425.51,218.53,279.43,267.98,197.49,255.78,210.37,163.37,-775.08,211.70,107.52,63.96,"2,715.60",135.20,-1.86,-93.73,3.55,131.71,63.55,82.67,168.81,76.87,105.78,86.70,65.87,63.79,94.73,68.89,100.10,78.30,35.47,61.95,144.45,69.84,29.98,70.17,102.29,79.30,46.50,89.64,122.74,55.10,53.84,--,--,--
Net P/L After M.I & Associates,"21,384.15","11,064.14","17,196.20","18,536.80","18,093.84","15,477.22","14,752.00","7,325.11","9,549.13","9,555.00","8,889.84","7,379.91","6,125.52","6,257.55","5,245.88","4,776.50","6,909.95","6,531.95","3,375.40","2,950.50","1,244.47","4,709.15",576.46,"-4,230.44","-7,542.03","-1,886.57","1,840.43","3,031.88","-2,977.70","2,152.23",20.70,"1,046.00","1,259.83","1,259.49","4,991.70","4,713.57","4,694.11","3,828.20","4,023.84","4,448.15","3,963.82","2,838.62","3,072.77","4,298.56","3,817.78","4,648.44","4,575.31","4,874.70","5,042.12","4,318.08"
Equity Share Capital,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,863.21,863.21,863.21,797.35,776.28,776.28,776.28,776.28,776.28,776.28,756.62,746.57,746.57,746.57,746.57,746.57,684.03,684.03,684.03,684.03,671.05,671.04,671.04,671.04,635.00
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"204,581.50",--,--,--,"180,800.92",--,--,--,--,--,--,--,"160,640.97",--,--,--,"146,623.96",--,--,--,"124,348.99",--,--,--,"105,558.97",--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ANALYTICAL RATIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) % of Share by Govt.,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,56.92,57.13,57.13,57.13,57.70,57.70,57.66,58.03,56.61,57.07,57.07,61.23,60.18,60.18,60.18,60.18,60.18,60.18,59.15,58.60,58.60,58.60,58.60,58.60,62.31,62.31,62.31,62.31,61.58,61.58,61.58,61.58,59.40
b) Capital Adequacy Ratio - Basel -I,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
c) Capital Adequacy Ratio - Basel -II,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,23.96,12.40,18.04,20.77,20.27,17.34,16.53,8.21,10.70,10.71,9.96,8.27,6.86,7.01,5.88,5.35,7.74,7.32,3.78,3.31,0.88,5.28,0.65,-4.74,--,-2.19,2.11,3.70,--,2.77,-0.03,1.35,1.62,1.61,6.54,6.23,6.29,5.13,53.90,59.58,57.05,41.50,44.92,62.84,--,69.27,68.18,72.64,--,68.00
Diluted EPS,23.96,12.40,18.04,20.77,20.27,17.34,16.53,8.21,10.70,10.71,9.96,8.27,6.86,7.01,5.88,5.35,7.74,7.32,3.78,3.31,0.88,5.28,0.65,-4.74,--,-2.19,2.11,3.70,--,2.77,-0.03,1.35,1.62,1.61,6.54,6.23,6.29,5.13,53.90,59.58,57.05,41.50,44.92,62.84,--,69.27,68.18,72.64,--,68.00
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS.,23.96,12.40,18.04,20.77,20.27,17.34,16.53,8.21,10.70,10.71,9.96,8.27,6.86,7.01,5.88,5.35,7.74,7.32,3.78,3.31,0.88,5.28,0.65,-4.74,--,-2.19,2.11,3.70,--,2.77,0.03,1.35,1.62,1.61,6.54,6.23,6.29,5.13,53.90,59.58,57.05,41.50,44.92,62.84,--,69.27,68.18,72.64,--,68.00
Diluted EPS.,23.96,12.40,18.04,20.77,20.27,17.34,16.53,8.21,10.70,10.71,9.96,8.27,6.86,7.01,5.88,5.35,7.74,7.32,3.78,3.31,0.88,5.28,0.65,-4.74,--,-2.19,2.11,3.70,--,2.77,0.03,1.35,1.62,1.61,6.54,6.23,6.29,5.13,53.90,59.58,57.05,41.50,44.92,62.84,--,69.27,68.18,72.64,--,68.00
NPA Ratios :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i) Gross NPA,"84,276.33","86,748.81","86,974.08","91,327.84","90,927.78","96,346.50","106,804.14","113,271.72","112,023.37","120,028.77","123,941.77","134,259.48","126,389.02","117,244.23","125,862.99","129,660.69","149,091.85","159,661.19","161,636.05","168,493.94","172,750.36","187,764.57","205,864.12","212,839.92","223,427.46","199,141.34","186,114.60","188,068.49","112,342.99","108,172.32","105,782.96","101,541.18","98,172.80","72,791.73","56,834.28","56,420.77","56,725.34","61,991.45","60,712.38","60,434.24","61,605.35","67,799.33","64,206.30","60,891.46","51,189.39","53,457.79","49,202.46","47,156.38","39,676.46","40,098.43"
ii) Net NPA,"21,051.08","22,408.36","21,352.40","22,995.37","21,466.64","23,484.31","23,572.19","28,257.92","27,965.71","34,539.68","37,118.61","43,152.52","36,809.72","29,031.72","36,450.69","42,703.63","51,871.30","58,248.61","59,939.22","65,623.86","65,894.74","80,943.51","94,809.98","99,236.26","110,854.70","102,370.12","97,896.29","107,759.66","58,277.38","61,430.45","60,013.45","57,420.98","55,807.02","40,249.12","28,591.96","28,669.14","27,590.58","34,468.74","32,997.16","31,883.80","31,096.07","37,167.35","32,151.37","29,989.84","21,956.48","25,370.31","22,614.59","20,324.01","15,818.85","18,803.17"
i) % of Gross NPA,2.24,2.42,2.55,2.76,2.78,3.14,3.52,3.91,3.97,4.50,4.90,5.32,4.98,4.77,5.28,5.44,6.15,6.94,7.19,7.53,7.53,8.71,9.95,10.69,10.91,10.35,9.83,9.97,6.90,7.23,7.14,6.94,6.50,5.10,4.15,4.29,4.25,4.90,4.89,4.90,4.95,5.73,5.64,5.56,4.75,5.30,5.15,4.99,4.44,4.61
ii) % of Net NPA,0.57,0.64,0.64,0.71,0.67,0.77,0.80,1.00,1.02,1.34,1.52,1.77,1.50,1.23,1.59,1.86,2.23,2.65,2.79,3.07,3.01,3.95,4.84,5.29,5.73,5.61,5.43,5.97,3.71,4.24,4.19,4.05,3.81,2.89,2.14,2.24,2.12,2.80,2.73,2.66,2.57,3.24,2.91,2.83,2.10,2.59,2.44,2.22,1.82,2.22
Return on Assets %,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Lakhs),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,309.11,309.11,309.11,309.11,30.91,30.91,30.91,25.78,25.78,25.78,25.78,25.78,25.78,25.78,25.78,25.78
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39.82,40.85,41.40,41.40,41.40,41.40,41.40,37.69,37.69,37.69,37.69,38.42,38.42,38.42,38.42,40.00
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Lakhs),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Lakhs).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,467.16,447.51,437.46,437.46,43.75,43.75,43.75,42.62,42.62,42.62,42.62,41.33,41.33,41.33,41.33,37.72
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,60.18,59.15,58.60,58.60,58.60,58.60,58.60,62.31,62.31,62.31,62.31,61.58,61.58,61.58,61.58,59.40
