Quarterly Results of Bharti Airtel(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,"2,066.70","2,047.30","1,959.00","2,059.60","1,984.40","1,782.30","1,566.90","1,532.70","1,442.50","1,267.00","1,267.00","1,061.30","1,148.40","1,052.40",874.40,730.10,935.50,900.30,758.10,836.40,"1,040.80","1,344.20","1,020.60","1,014.40","1,411.80","1,590.20","1,410.40","1,536.50","1,693.40","1,871.50","2,037.20","2,292.30","2,047.70","2,430.30","2,351.60","1,646.00","1,694.30","1,546.70","1,574.90","1,730.40","1,597.10","1,547.20","1,463.50","1,582.60","1,590.80","1,547.00","1,562.10","3,696.60","3,284.50","3,448.50"
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,"14,803.70","14,714.40","14,192.10","14,524.70","14,064.10","13,942.10","13,584.80","12,763.10","12,587.70","12,147.90","12,147.90","10,727.10","11,268.10","12,386.40","12,167.80","11,644.10","11,407.40","10,531.30","10,589.60","10,608.50","11,992.80","12,076.10","12,066.90","11,097.40","10,316.50","10,301.20","11,466.40","11,612.80","11,378.80","11,919.50","12,088.30","12,591.70","12,559.30","12,004.30","12,004.10","12,593.70","12,045.10","12,730.40","12,390.60","12,387.10","12,205.10","12,162.20","11,826.60","11,079.40","11,297.80","11,501.70","11,385.50","8,897.30","8,349.70","8,256.00"
"P/L Before Other Inc., Int., Excpt. Items & Tax","9,289.60","9,740.50","9,779.40","9,944.70","9,291.20","8,647.00","7,748.00","7,457.70","6,155.60","5,563.30","5,563.30","6,317.00","4,830.00","4,549.90","4,220.90","3,181.10","3,293.20","2,609.60","1,902.10","1,670.20","1,132.30",673.60,887.70,"1,576.60","2,012.00","2,631.10","3,203.90","2,974.90","2,870.80","3,674.70","4,504.20","4,534.30","4,295.90","4,097.20","4,011.20","4,193.90","4,272.20","3,984.20","3,852.30","3,683.50","3,362.20","3,174.60","2,892.70","2,697.90","2,504.20","2,283.40","2,494.80","2,091.60","2,764.60","2,368.30"
Other Income,316.90,439.80,330.40,348.30,284.90,201.90,192.20,18.60,197.10,108.80,108.80,209.80,83.90,49.20,148.90,480.50,99.40,74.50,67.70,74.60,54.60,67.50,81.20,99.70,75.30,69.60,55.30,48.60,46.00,51.70,--,--,23.50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"P/L Before Int., Excpt. Items & Tax","9,606.50","10,180.30","10,109.80","10,293.00","9,576.10","8,848.90","7,940.20","7,476.30","6,352.70","5,672.10","5,672.10","6,526.80","4,913.90","4,599.10","4,369.80","3,661.60","3,392.60","2,684.10","1,969.80","1,744.80","1,186.90",741.10,968.90,"1,676.30","2,087.30","2,700.70","3,259.20","3,023.50","2,916.80","3,726.40","4,504.20","4,534.30","4,319.40","4,097.20","4,011.20","4,193.90","4,272.20","3,984.20","3,852.30","3,683.50","3,362.20","3,174.60","2,892.70","2,697.90","2,504.20","2,283.40","2,494.80","2,091.60","2,764.60","2,368.30"
Interest,"5,203.30","6,644.90","5,185.80","5,613.70","5,163.10","4,940.30","4,510.90","4,059.30","4,367.10","3,964.10","3,964.10","4,225.70","3,860.60","3,971.90","3,760.40","3,456.20","3,307.60","2,984.60","2,908.30","3,181.50","2,532.30","1,944.80","2,985.70","2,126.60","1,829.30","2,088.20","2,326.60","1,827.40","1,916.20","1,936.40","2,038.60","1,942.40","1,703.10","1,422.70","1,961.00","1,929.10","1,970.30","1,052.30",855.50,798.70,823.80,961.80,"1,445.90","1,085.40","1,209.50","1,331.90","1,021.90",821.10,"1,057.20",787.70
P/L Before Exceptional Items & Tax,"4,403.20","3,535.40","4,924.00","4,679.30","4,413.00","3,908.60","3,429.30","3,417.00","1,985.60","1,708.00","1,708.00","2,301.10","1,053.30",627.20,609.40,205.40,85.00,-300.50,-938.50,"-1,436.70","-1,345.40","-1,203.70","-2,016.80",-450.30,258.00,612.50,932.60,"1,196.10","1,000.60","1,790.00","2,465.60","2,591.90","2,616.30","2,674.50","2,050.20","2,264.80","2,301.90","2,931.90","2,996.80","2,884.80","2,538.40","2,212.80","1,446.80","1,612.50","1,294.70",951.50,"1,472.90","1,270.50","1,707.40","1,580.60"
Exceptional Items,"-2,455.50",-130.20,"-1,570.30","-3,416.30",--,--,--,906.20,39.80,722.10,722.10,-30.50,440.40,"-4,559.90",-49.30,"-11,745.70","-7,004.00","-1,050.00","-30,711.00","-1,469.40","2,022.10","1,413.70",-144.90,-362.10,-324.70,-239.50,-178.60,-50.30,-605.50,-204.00,-6.60,-353.60,-299.90,-340.50,676.10,"2,138.40",-146.90,-292.10,-175.00,-182.00,-156.90,67.40,-81.90,225.20,--,--,--,--,--,--
P/L Before Tax,"1,947.70","3,405.20","3,353.70","1,263.00","4,413.00","3,908.60","3,429.30","4,323.20","2,025.40","2,430.10","2,430.10","2,270.60","1,493.70","-3,932.70",560.10,"-11,540.30","-6,919.00","-1,350.50","-31,649.50","-2,906.10",676.70,210.00,"-2,161.70",-812.40,-66.70,373.00,754.00,"1,145.80",395.10,"1,586.00","2,459.00","2,238.30","2,316.40","2,334.00","2,726.30","4,403.20","2,155.00","2,639.80","2,821.80","2,702.80","2,381.50","2,280.20","1,364.90","1,837.70","1,294.70",951.50,"1,472.90","1,270.50","1,707.40","1,580.60"
Tax,709.80,"1,232.00","1,846.50",332.70,788.00,"1,286.40","1,123.30","1,321.80",990.80,"1,030.80","1,030.80",834.50,510.10,"4,306.70",551.70,"3,817.50","-2,033.50","-1,037.90","-8,503.90",-607.00,137.40,-182.40,"-2,247.60","-1,126.70",-302.10,37.90,534.10,813.60,175.30,"1,184.10","1,113.60","1,008.90","1,078.90","1,352.30","1,339.40","2,182.70","1,081.10","1,314.50","1,476.50","1,532.60","1,356.20","1,656.90",863.40,968.40,788.40,667.50,771.40,487.80,697.60,558.50
P/L After Tax from Ordinary Activities,"1,237.90","2,173.20","1,507.20",930.30,"3,625.00","2,622.20","2,306.00","3,001.40","1,034.60","1,399.30","1,399.30","1,436.10",983.60,"-8,239.40",8.40,"-15,357.80","-4,885.50",-312.60,"-23,145.60","-2,299.10",539.30,392.40,85.90,314.30,235.40,335.10,219.90,332.20,219.80,401.90,"1,345.40","1,229.40","1,237.50",981.70,"1,386.90","2,220.50","1,073.90","1,325.30","1,345.30","1,170.20","1,025.30",623.30,501.50,869.30,506.30,284.00,701.50,782.70,"1,009.80","1,022.10"
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,"9,810.10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,"1,237.90","2,173.20","1,507.20",930.30,"3,625.00","2,622.20","2,306.00","3,001.40","1,034.60","1,399.30","1,399.30","1,436.10",983.60,"1,570.70",8.40,"-15,357.80","-4,885.50",-312.60,"-23,145.60","-2,299.10",539.30,392.40,85.90,314.30,235.40,335.10,219.90,332.20,219.80,401.90,"1,345.40","1,229.40","1,237.50",981.70,"1,386.90","2,220.50","1,073.90","1,325.30","1,345.30","1,170.20","1,025.30",623.30,501.50,869.30,506.30,284.00,701.50,782.70,"1,009.80","1,022.10"
Minority Interest,3.40,-434.20,-752.50,92.30,"-1,220.40",-833.70,-861.90,"-1,707.20",-821.10,-864.10,-864.10,-657.90,-751.80,-496.50,-729.30,-741.90,-260.00,-570.40,-214.80,-473.80,-468.90,-296.40,-130.40,-382.30,-336.10,-254.90,-243.10,-250.40,-97.20,-167.80,-154.40,-22.20,-209.50,-145.70,-113.30,-347.80,-32.20,-68.80,37.90,-61.70,-63.70,-13.10,10.50,-180.40,2.30,-0.30,19.70,-12.90,-2.10,-10.80
Share Of P/L Of Associates,830.30,703.20,586.00,589.90,601.00,356.70,162.80,713.60,616.10,598.80,598.80,-494.70,527.40,-220.60,-42.30,166.60,-91.50,-152.30,315.50,-93.10,36.80,-9.80,163.30,165.30,183.60,225.60,366.20,285.50,250.80,269.60,269.70,254.80,291.50,272.10,262.50,240.50,213.60,180.00,--,--,--,--,--,--,--,--,--,-7.60,-1.80,--
Net P/L After M.I & Associates,"2,071.60","2,442.20","1,340.70","1,612.50","3,005.60","2,145.20","1,606.90","2,007.80",829.60,"1,134.00","1,134.00",283.50,759.20,853.60,-763.20,"-15,933.10","-5,237.00","-1,035.30","-23,044.90","-2,866.00",107.20,86.20,118.80,97.30,82.90,305.80,343.00,367.30,373.40,503.70,"1,460.70","1,462.00","1,319.50","1,108.10","1,536.10","2,113.20","1,255.30","1,436.50","1,383.20","1,108.50",961.60,610.20,512.00,688.90,508.60,283.70,721.20,762.20,"1,005.90","1,011.30"
Equity Share Capital,"2,876.60","2,861.50","2,857.70","2,839.70","2,836.60","2,830.60","2,795.00","2,795.00","2,795.00","2,746.00","2,746.00","2,746.00","2,746.00","2,727.80","2,727.80","2,727.80","2,727.80","2,566.00","2,566.00","2,565.50","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,998.70","1,898.80","1,898.80","1,898.80","1,898.80","1,898.80","1,898.80"
Reserves Excluding Revaluation Reserves,"79,142.20","76,223.90","74,626.60","74,027.00","74,726.30","70,022.40","65,358.20","63,759.30","63,068.00","57,441.40","57,441.40","56,457.40","56,206.70","56,979.20","56,611.50","58,262.40","74,417.00","66,262.70","67,417.30","88,809.10","69,423.50","69,111.00","66,881.70","67,388.90","67,535.70","69,418.80","67,570.40","65,927.10","65,457.60","61,144.40","62,140.10","62,289.90","64,770.60","63,214.20","62,094.40","63,009.60","65,170.70","62,877.70","61,621.20","60,578.30","59,469.20","58,508.90","57,903.00","57,686.60","51,747.40","52,327.50","50,374.00","50,110.60","49,343.30","48,322.70"
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,3.61,4.27,2.36,2.84,5.30,3.80,2.88,3.59,1.49,2.06,2.06,0.52,1.39,1.57,-1.40,-29.22,-9.69,-2.02,-44.92,-6.18,0.27,0.22,0.28,0.23,0.21,0.77,0.86,0.92,0.93,1.26,3.66,3.66,3.30,2.77,3.84,5.29,3.14,3.59,3.46,2.77,2.40,1.53,1.28,1.80,1.34,0.75,1.90,2.00,2.65,2.66
Diluted EPS,3.51,4.17,2.21,2.79,5.19,3.75,2.84,3.55,1.48,2.06,2.06,0.52,1.39,1.57,-1.40,-29.22,-9.69,-2.02,-44.92,-6.18,0.27,0.22,0.28,0.23,0.21,0.76,0.86,0.92,0.93,1.26,3.65,3.66,3.30,2.77,3.84,5.29,3.14,3.59,3.46,2.77,2.40,1.53,1.28,1.80,1.34,0.75,1.90,2.00,2.65,2.66
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS.,3.61,4.27,2.36,2.84,5.30,3.80,2.88,3.59,1.49,2.06,2.06,0.52,1.39,1.57,-1.40,-29.22,-9.69,-2.02,-44.92,-6.18,0.27,0.22,0.28,0.23,0.21,0.77,0.86,0.92,0.93,1.26,3.66,3.66,3.30,2.77,3.84,5.29,3.14,3.59,3.46,2.77,2.40,1.53,1.28,1.80,1.34,0.75,1.90,2.00,2.65,2.66
Diluted EPS.,3.51,4.17,2.21,2.79,5.19,3.75,2.84,3.55,1.48,2.06,2.06,0.52,1.39,1.57,-1.40,-29.22,-9.69,-2.02,-44.92,-6.18,0.27,0.22,0.28,0.23,0.21,0.76,0.86,0.92,0.93,1.26,3.65,3.66,3.30,2.77,3.84,5.29,3.14,3.59,3.46,2.77,2.40,1.53,1.28,1.80,1.34,0.75,1.90,2.00,2.65,2.66
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,138.00,138.42,138.42,138.42,138.42,138.61,138.99,138.99,138.99,119.43,119.64,119.64,119.64,119.64,119.64
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34.52,34.63,34.63,34.63,34.63,34.68,34.77,34.77,34.77,31.45,31.50,31.50,31.50,31.50,31.50
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,261.63,261.18,261.32,261.32,261.32,261.13,260.75,260.75,260.75,260.32,260.11,260.11,260.11,260.11,260.11
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,65.45,65.34,65.37,65.37,65.37,65.32,65.23,65.23,65.23,68.55,68.50,68.50,68.50,68.50,68.50
