Quarterly Results of Hindustan Unilever(in Rs. Cr.),Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18
Other Income,231.00,214.00,183.00,183.00,160.00,110.00,109.00,133.00,79.00,60.00,53.00,66.00,109.00,54.00,93.00,154.00,264.00,105.00,118.00,145.00,113.00,73.00,233.00,131.00
"P/L Before Int., Excpt. Items & Tax","3,446.00","3,567.00","3,683.00","3,562.00","3,443.00","3,511.00","3,316.00","3,254.00","3,102.00","3,197.00","2,998.00","2,727.00","2,885.00","2,731.00","2,753.00","2,592.00","2,093.00","2,386.00","2,372.00","2,640.00","2,363.00","2,023.00","2,167.00","2,312.00"
Interest,105.00,91.00,88.00,50.00,29.00,29.00,28.00,28.00,38.00,27.00,28.00,13.00,11.00,44.00,31.00,31.00,30.00,27.00,34.00,27.00,7.00,9.00,10.00,7.00
P/L Before Exceptional Items & Tax,"3,341.00","3,476.00","3,595.00","3,512.00","3,414.00","3,482.00","3,288.00","3,226.00","3,064.00","3,170.00","2,970.00","2,714.00","2,874.00","2,687.00","2,722.00","2,561.00","2,063.00","2,359.00","2,338.00","2,613.00","2,356.00","2,014.00","2,157.00","2,305.00"
Exceptional Items,78.00,-30.00,-5.00,-37.00,80.00,-103.00,-29.00,-12.00,55.00,-67.00,-5.00,-27.00,14.00,-51.00,-83.00,-119.00,-59.00,-100.00,-48.00,7.00,-64.00,-58.00,-47.00,-59.00
P/L Before Tax,"3,419.00","3,446.00","3,590.00","3,475.00","3,494.00","3,379.00","3,259.00","3,214.00","3,119.00","3,103.00","2,965.00","2,687.00","2,888.00","2,636.00","2,639.00","2,442.00","2,004.00","2,259.00","2,290.00","2,620.00","2,292.00","1,956.00","2,110.00","2,246.00"
Tax,858.00,937.00,931.00,918.00,891.00,898.00,589.00,823.00,814.00,803.00,783.00,587.00,698.00,698.00,665.00,545.00,484.00,628.00,472.00,825.00,718.00,512.00,637.00,677.00
P/L After Tax from Ordinary Activities,"2,561.00","2,509.00","2,659.00","2,557.00","2,603.00","2,481.00","2,670.00","2,391.00","2,305.00","2,300.00","2,182.00","2,100.00","2,190.00","1,938.00","1,974.00","1,897.00","1,520.00","1,631.00","1,818.00","1,795.00","1,574.00","1,444.00","1,473.00","1,569.00"
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,-1.00,--,--,--,2.00,--,3.00,--,--,--,--,--,-8.00,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,"2,561.00","2,509.00","2,659.00","2,557.00","2,602.00","2,481.00","2,670.00","2,391.00","2,307.00","2,300.00","2,185.00","2,100.00","2,190.00","1,938.00","1,974.00","1,897.00","1,512.00","1,631.00","1,818.00","1,795.00","1,574.00","1,444.00","1,473.00","1,569.00"
Minority Interest,-3.00,1.00,-1.00,-2.00,-1.00,-7.00,-5.00,-10.00,-3.00,-3.00,-4.00,-3.00,-4.00,-1.00,--,1.00,3.00,-4.00,-4.00,-3.00,-3.00,-4.00,5.00,-4.00
Share Of P/L Of Associates,--,-1.00,-2.00,-1.00,-1.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net P/L After M.I & Associates,"2,558.00","2,509.00","2,656.00","2,554.00","2,600.00","2,474.00","2,665.00","2,381.00","2,304.00","2,297.00","2,181.00","2,097.00","2,186.00","1,937.00","1,974.00","1,898.00","1,515.00","1,627.00","1,814.00","1,792.00","1,571.00","1,440.00","1,478.00","1,565.00"
Equity Share Capital,235.00,235.00,235.00,235.00,235.00,235.00,235.00,235.00,235.00,235.00,235.00,235.00,235.00,235.00,235.00,235.00,216.00,216.00,216.00,216.00,216.00,216.00,216.00,216.00
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,10.89,10.68,11.30,10.87,11.06,10.53,11.35,10.13,9.81,9.78,9.28,8.92,9.31,8.24,8.40,8.08,6.98,7.51,8.38,8.28,7.27,6.65,6.83,7.23
Diluted EPS,10.89,10.68,11.30,10.87,11.06,10.53,11.35,10.13,9.81,9.78,9.28,8.92,9.31,8.24,8.40,8.08,6.98,7.51,8.38,8.27,7.27,6.65,6.83,7.23
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS.,10.89,10.68,11.30,10.87,11.06,10.53,11.35,10.13,9.81,9.78,9.28,8.92,9.31,8.24,8.40,8.08,6.98,7.51,8.38,8.28,7.27,6.65,6.83,7.23
Diluted EPS.,10.89,10.68,11.30,10.87,11.06,10.53,11.35,10.13,9.81,9.78,9.28,8.92,9.31,8.24,8.40,8.08,6.98,7.51,8.38,8.27,7.27,6.65,6.83,7.23
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
